split,dataset_split,slice_id,model_type,case_index,repeat,matched_exact_blocks,true_descent,true_directional_derivative,cosine_to_exact
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,66,15,True,-42.600208957394756,0.9747428376833016
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,67,15,True,-39.1052209601897,0.8947734055738994
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,68,15,True,-41.01453003609387,0.9384606407356477
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,69,15,True,-40.95153404763181,0.9370192184971418
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,70,15,True,-38.561430667460314,0.8823308447036042
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,71,15,True,-41.25163450063163,0.9438858694903249
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,72,15,True,-39.95463824413336,0.9142090711255999
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,73,15,True,-41.73296025413805,0.9548991683051761
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,74,15,True,-40.677934550001055,0.9307589405023544
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,75,15,True,-38.771853084933326,0.8871455568690996
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,76,15,True,-38.8854343668045,0.8897444300602981
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,77,15,True,-42.05098190098069,0.9621758772715131
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,78,15,True,-39.54111620021981,0.9047472008579673
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,79,15,True,-40.69332737528583,0.9311111464319795
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,80,15,True,-40.5764314249583,0.9284364297316479
